topicId,rank,docId,filename
0,0,14111,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2011_2465.txt
0,1,12508,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2011_1061.txt
0,2,704,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Анна%20Каренина.%2018_1606.txt
0,3,21175,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Детство%201_374.txt
0,4,18697,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%209_2492.txt
0,5,11073,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_2770.txt
0,6,9691,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_1565.txt
0,7,9683,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_1558.txt
0,8,20565,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Два%20гусара.%20Повесть.%203_42.txt
0,9,19834,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%209_681.txt
0,10,19320,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%209_3045.txt
0,11,18481,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%209_23.txt
0,12,14806,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2011_629.txt
0,13,14460,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2011_327.txt
0,14,12588,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2011_1132.txt
0,15,12032,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_642.txt
0,16,11745,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_389.txt
0,17,10316,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_2113.txt
0,18,9736,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%2010_1601.txt
0,19,4952,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Анна%20Каренина.%2018_997.txt
0,20,22258,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Семейное%20счастие%205_434.txt
0,21,22222,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Семейное%20счастие%205_401.txt
0,22,21676,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Из%20кавказских%20воспоминаний.%20Разжалованный%203_7.txt
0,23,21609,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Из%20кавказских%20воспоминаний.%20Разжалованный%203_250.txt
0,24,20562,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Два%20гусара.%20Повесть.%203_417.txt
0,25,20509,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Два%20гусара.%20Повесть.%203_370.txt
0,26,20374,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Два%20гусара.%20Повесть.%203_251.txt
0,27,19724,file:/C:/Users/User/Женя/GitHub/Программирование/Franzuz/russian_corpus/Война%20и%20мир.%209_584.txt
